variant,fold,split,train_rows_mean,train_rows_std,train_rows_min,train_rows_max,eval_rows_mean,eval_rows_std,eval_rows_min,eval_rows_max,account_points_mean,account_points_std,account_points_min,account_points_max,total_return_mean,total_return_std,total_return_min,total_return_max,annualized_return_mean,annualized_return_std,annualized_return_min,annualized_return_max,annualized_volatility_mean,annualized_volatility_std,annualized_volatility_min,annualized_volatility_max,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_min,sharpe_ratio_max,sortino_ratio_mean,sortino_ratio_std,sortino_ratio_min,sortino_ratio_max,calmar_ratio_mean,calmar_ratio_std,calmar_ratio_min,calmar_ratio_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,turnover_mean,turnover_std,turnover_min,turnover_max,annualized_turnover_mean,annualized_turnover_std,annualized_turnover_min,annualized_turnover_max,average_holding_time_days_mean,average_holding_time_days_std,average_holding_time_days_min,average_holding_time_days_max
no_sentiment,fold1,test,1241.0,0.0,1241,1241,233.0,0.0,233,233,233.0,0.0,233,233,-0.038082959635003674,0.13715557628934558,-0.1578699383507948,0.191058792068772,-0.04059249224592434,0.14925203952506408,-0.1702517586447558,0.2091471728140097,0.10254689794209246,0.00526353509357193,0.0944254029466349,0.108831828204587,-0.3396800175096411,1.5113458187924675,-1.635814755388212,2.2149460451040954,-0.6660669427192075,2.3671068969582976,-2.6348406834321896,3.305350410981464,0.1975453469041102,2.1425941794804637,-1.0501033266576365,3.993550908290713,-0.11458866789346564,0.04077421720625621,-0.162128577562599,-0.0523712299196724,66.97287133626487,50.55567751026226,17.372260552425676,143.9287345615007,72.7463947273222,54.91392557149177,18.869869220738234,156.33638409266456,10.397957403253093,8.791746137576807,2.191780821917808,23.22222222222222
no_sentiment,fold1,val,1241.0,0.0,1241,1241,231.0,0.0,231,231,231.0,0.0,231,231,0.09135995063225208,0.0818240412177761,0.0492529857617516,0.2375680159834481,0.10077656590422564,0.09081812156438843,0.0540894133336071,0.2630586290975512,0.12599298646195792,0.0035102407330998876,0.1226663618336993,0.1302673442016157,0.8028379383223848,0.7281958264496543,0.4152185159305358,2.103500469325911,1.2458369320016869,1.1457314615444456,0.6375921849124719,3.292547840859828,1.0395918680830776,1.0566412879450313,0.5249785840892105,2.929024896514923,-0.10287679878129452,0.009018203223652056,-0.11503254474751,-0.089810991163151,53.05133676049022,26.04978354098883,29.83182550172685,90.34764236156352,58.12581245062406,28.541501966648628,32.68530446276159,98.98959076136524,9.317012138188609,4.431633710885089,4.044444444444444,14.4
no_sentiment,fold2,test,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,0.1325265344859344,0.04894553474354255,0.0554376369090976,0.179792721294631,0.14482316479322993,0.05366553046736628,0.0603582673252021,0.196729123460227,0.0971183011910477,0.004108541796744289,0.0913996979824809,0.1018060056843894,1.5038499943680637,0.5776571421361253,0.5928753114263201,2.0585271589544294,2.3240565014414862,0.9604488110518755,0.887027679013203,3.5640436018787605,2.177314826833153,1.213614463016702,0.6371842465594868,3.590213271431315,-0.07608166675731898,0.02268950490667898,-0.1027885231563862,-0.046551416308075,59.16871277249187,17.505729691913032,44.54383962982017,88.77976847004896,64.26946387356875,19.01484432052623,48.38382580480467,96.4331967864325,6.8651616739190375,2.167358756151149,3.8222222222222224,9.130434782608695
no_sentiment,fold2,val,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,0.057956307301788156,0.06893918213587015,-0.0417002573558151,0.1464565557148838,0.06327713786457902,0.075191115308132,-0.0452126373161069,0.1600444662516362,0.10229653163638257,0.008057817964227281,0.0916730320346295,0.1106545724184109,0.5890496881488662,0.70475084765729,-0.4656726940486737,1.4636233795017626,0.9351565976531842,1.0889967561414735,-0.6994365936013817,2.2840137544100334,0.8614801452381702,0.9917675498777191,-0.430138456705532,2.3522200287247146,-0.08410715811424549,0.022071092677701996,-0.1051118229753146,-0.0545597991490309,54.355740975764526,25.854324962658634,31.08585257964538,95.38014649177316,59.04158071505458,28.083146080129207,33.76566745720102,103.60257291347774,8.440312738367657,3.9561535921462796,3.7291666666666665,13.5625
no_sentiment,fold3,test,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.012043214474151919,0.013554753571003006,-0.0091650591180643,0.0211387728169403,0.013095016556216522,0.014732000272655754,-0.0099512066552054,0.0229818685377902,0.15167293880022908,0.005306755734934264,0.1422596012262937,0.1544223971610463,0.08538398370893521,0.09527434296305558,-0.0651095479007667,0.1488247104066296,0.11630990804172447,0.1295874840494665,-0.0873420337222214,0.202963885773078,0.10594256729500233,0.12028161930763402,-0.0809982068985145,0.1870617511258966,-0.1244566440542874,0.0035766381540424837,-0.1308547288889741,-0.1228571228456156,1.7117939767466428,1.6491287392621066,0.9669736957025212,4.66175774112774,1.8593624230179049,1.79129500988815,1.0503334970561868,5.063633408466338,199.26666666666665,70.43215805929057,73.33333333333333,232.0
no_sentiment,fold3,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.19429389727362245,0.0494787965218777,0.1196897934285692,0.2494728358131999,0.21279342264253992,0.05452399671319691,0.1306554524708387,0.2736946882013957,0.1070406072040476,0.0033116694111275046,0.1028602994078822,0.1107922776610427,1.9908432622176153,0.516131676905316,1.217233458468563,2.497710954464522,2.85363925297143,0.9260039098382675,1.555577709418388,3.834007773821668,3.553861104878274,1.3181591330425333,1.9618972872848404,5.189908260580625,-0.06232024123083196,0.009671200759592548,-0.0770488677407341,-0.0527359395309958,14.127550191131888,1.7980808551334155,13.239504375866376,17.342397072124644,15.345442448988084,1.9530878254035395,14.380840959992788,18.83743130248022,29.228571428571428,3.3724574701180594,24.0,32.285714285714285
no_sentiment,fold4,test,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.15739532192288422,0.058541842992370696,0.080776609392051,0.2236145746943865,0.1721847525034511,0.06435971709343741,0.0880383604936667,0.2450884769489956,0.10577437460661106,0.010430359432115177,0.0875650186830435,0.1123360271974525,1.602934891821708,0.5187949789464125,1.005405603947126,2.210204497887306,2.3595684771128678,0.9053086115475594,1.3026070869609958,3.271386440823059,3.1825820332807835,1.2903074997426294,1.392495021322882,4.325345543680218,-0.05748783918914242,0.01955293583331648,-0.0896998272623882,-0.038796817370054,23.468440812063214,18.827574625877396,2.8587886759661254,43.323950642641066,25.491582261379012,20.45064140397028,3.1052359756183776,47.05877397390323,40.30649350649351,46.64205629830591,8.818181818181818,115.5
no_sentiment,fold4,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.031376617109225416,0.0626176981703768,-0.0318983704411046,0.1337654690754861,0.03426797555637034,0.06833314502401586,-0.0346001210136091,0.1461026156542406,0.14775205704196437,0.012468244907181306,0.1255482083076558,0.1544223971610463,0.26468877637553156,0.5340431431768611,-0.2286498340424848,1.1637172495223211,0.36508871044448454,0.7357868869492977,-0.3083666473466592,1.6066318223482698,0.6194277890044698,1.2396500470380218,-0.2086204525246041,2.807619662886168,-0.11919700932110104,0.04179520145062032,-0.1658520082518201,-0.052037894443313,20.317996488144026,28.20757940758107,0.9669736957025212,69.23621956072878,22.06954790953575,30.639267287544957,1.0503334970561868,75.20485917803299,76.24392156862746,91.02670874169011,5.852941176470588,232.0
no_sentiment,fold5,test,1239.0,0.0,1239,1239,232.0,0.0,232,232,232.0,0.0,232,232,-0.13161218991363155,0.042612256150957546,-0.1519131091493741,-0.0554866247865973,-0.14260107638797187,0.04602619882264699,-0.1645221748898163,-0.0603755601417917,0.06644182484851871,0.0030778692177571886,0.0609359943330132,0.0678240819359135,-2.122799222752861,0.6337451514084731,-2.425719157470823,-0.9908029039756264,-3.0814039916194313,0.9442185273800462,-3.540930088674616,-1.3965088105662509,-0.9897409482150159,0.14282986912454515,-1.0538377709861404,-0.7342400334466991,-0.1403288797749359,0.032552635538667975,-0.1561171742173018,-0.0822286410322444,5.129961080116326,6.993503710479384,1.0835930114750685,17.23433577749053,5.596321178308719,7.629276775068419,1.1821014670637109,18.801093575444213,157.93333333333334,101.90038708900418,21.0,231.0
no_sentiment,fold5,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.07014412098651782,0.06464772317499295,-0.0314793783609209,0.1287893203391985,0.07656565387500758,0.07050760907932896,-0.0341462705750809,0.1406397073883747,0.10731351967815791,0.0027540312938833396,0.1040073296782456,0.1110815077893624,0.7065551950144103,0.6507042219413914,-0.3238675493272857,1.3089375263766176,1.1495410563827655,1.0160131925768274,-0.4505352122883483,2.1575439171810857,1.1262679030970504,0.9190682592452737,-0.3403630222577367,2.144574559313801,-0.07566419325666011,0.01865494058948088,-0.1003230913528084,-0.061446031856268,32.41612867662123,7.8052538322939835,19.190958939621552,37.38863571076893,35.21062252805409,8.478120541974498,20.845351951657893,40.61179396169728,13.357763157894738,4.278552663950678,10.421052631578949,20.7
no_sentiment,fold6,test,1239.0,0.0,1239,1239,232.0,0.0,232,232,232.0,0.0,232,232,-0.018960713691097718,0.1024732553241474,-0.0964616425001151,0.1166847855149084,-0.020247833321725462,0.11181079972519849,-0.1047553401457287,0.1279450073026395,0.1620698558061899,0.004073940520126373,0.1554646397235412,0.1656303552997682,-0.13459076544298929,0.6870479862722464,-0.6485769980656572,0.7749238250943835,-0.1378674263233389,0.9746202835079562,-0.8627144598639195,1.2239511856199603,-0.07360029100532506,0.6226264877350903,-0.5397462303953814,0.7469541782869028,-0.18217109950062998,0.01852573506066817,-0.2074830996498893,-0.16097383967093,40.98970309142734,30.503332646948255,19.08108119839605,94.71633838378672,44.71603973610255,33.27636288757992,20.81572494370478,103.32691460049462,12.707360539960664,5.904943598337161,3.74468085106383,20.3
no_sentiment,fold6,val,1239.0,0.0,1239,1239,232.0,0.0,232,232,232.0,0.0,232,232,-0.016778519565004237,0.10043026732376578,-0.1333500351065624,0.1255303752395575,-0.01788626794338542,0.10951795303172696,-0.1445529101902034,0.1376955468880107,0.061740041157587064,0.00572593051031687,0.0522300121063323,0.0674346777370822,-0.3952994729840432,1.8632883245425744,-2.7676216098881192,2.1459236649963715,-0.648490378012279,2.453651684792284,-3.84919246098674,2.5966685253567574,0.6274982679773053,2.592843168477445,-1.0780633687196344,5.109058701147356,-0.07583883598855652,0.03890137000454166,-0.1340857266691866,-0.0269512555917762,34.08496141901487,60.662577305912585,0.9618248920015164,142.29978477319628,37.18359427528895,66.17735706099555,1.0492635185471086,155.23612884348685,69.260871898055,79.95833775853232,2.028169014084507,205.0
no_sentiment,fold7,test,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,-0.11784145862772658,0.09228435539452921,-0.1968034595193104,0.0099175133669291,-0.12697238373464467,0.09935985565021495,-0.2118356002916098,0.0107770625759637,0.11596245661392153,0.002838779695936061,0.1114334036797085,0.1186600404116768,-1.1003158986612518,0.8686319101753625,-1.9010062808499144,0.0931884454945775,-1.7560101958003826,1.4032802631870698,-2.826123185329162,0.1126065495123671,-0.6709804648370935,0.5098922852666433,-1.0612949939583498,0.0915610306982287,-0.16825450357459146,0.04148043060522356,-0.2254346867990138,-0.1177035961017448,11.784676317530337,9.261248489249962,1.1035113883938503,22.459297466922177,12.800596689731227,10.059631979702544,1.1986416804967686,24.395443800277537,82.975,92.11197518358958,17.916666666666668,232.0
no_sentiment,fold7,val,1240.0,0.0,1240,1240,232.0,0.0,232,232,232.0,0.0,232,232,0.11098209090248878,0.11039205753956222,-0.0277341764387256,0.2247589042598134,0.12210530244815043,0.12145709109377975,-0.0302169989593422,0.2475420875323362,0.15996393253872682,0.024085567970868048,0.1175679072738743,0.1752636421111258,0.7286204454758011,0.7057702282988565,-0.1797660524417672,1.5019613777706735,1.1168227706971225,1.089968710388396,-0.2078791104624034,2.372421003373678,1.3844634976156334,1.2605081567435972,-0.1497486092357636,2.664866443035263,-0.1115485267232152,0.05095184910625436,-0.201784838694353,-0.0838877106231061,8.173801514071332,5.635391679838058,1.9700746274883936,17.227676500479873,8.916874378986908,6.147700014368789,2.149172320896429,18.793828909614405,60.102222222222224,30.843518237774862,24.77777777777778,105.0
no_sentiment,fold8,test,1239.0,0.0,1239,1239,93.0,0.0,93,93,93.0,0.0,93,93,-0.08069420467846343,0.156084320065402,-0.2796546227334767,0.0769289491554443,-0.16259670643655827,0.36232811146793387,-0.5928207885907553,0.2250802325865353,0.5048448483326837,0.005114162855371326,0.4958245287372185,0.5081834915543247,-0.31923287641800285,0.7180955567914553,-1.1717175187498388,0.4539513871162782,-0.4549169180037119,0.9897232399267746,-1.6534498971021552,0.5988907533545935,-0.4219275237234349,1.1370118271063487,-1.7023311319105214,0.8932261252116127,-0.30320712109317427,0.04057238558631204,-0.3482405846184779,-0.2519857248165597,6.96083229370633,3.8513380537793793,5.109290881840885,13.847838453988649,19.066627587108645,10.549317277743514,13.995014154607643,37.93103576527325,25.723809523809525,7.539345021685177,12.285714285714286,30.0
no_sentiment,fold8,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,-0.024582105851350254,0.1392804295589613,-0.1323070286729809,0.1614405917198647,-0.02594169341857696,0.15133921911680406,-0.1428579320724505,0.1765223723914395,0.11150582830898681,0.008136999762297273,0.0982968904441588,0.1181049490091968,-0.27782784638613445,1.358235564828599,-1.3904793112473413,1.523483891025163,-0.6108431659114788,1.8792027429529403,-2.163343118461708,1.8458274197213296,0.17557634820919957,1.569999133356724,-1.0568178968763244,2.261252959261652,-0.11533071241696058,0.04413529987140102,-0.1748628616632853,-0.0661836939627552,19.652563421323077,14.854133330448748,5.115058083159744,44.04549418303274,21.346749923161276,16.134662065832266,5.556011366190757,47.84251954363902,32.61942028985508,25.893852472801683,9.130434782608695,75.66666666666667
